epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5303030014038086,0.5378787517547607,9.999999747378752e-06,0.9395761489868164,0.523809552192688,0.6666666865348816,0.5,0.5,0.6999942064285278,0.0,0.0
1,0.43939393758773804,0.46992653608322144,9.999999747378752e-06,0.9941970109939575,0.44999998807907104,0.5454545617103577,0.5,0.5,0.698068380355835,0.0,0.0
2,0.5,0.49896693229675293,9.999999747378752e-06,1.0047236680984497,0.5,0.5757575631141663,0.5,0.4615384638309479,0.6966170072555542,0.0,0.0
3,0.5530303120613098,0.5897612571716309,9.999999747378752e-06,0.8016558289527893,0.54666668176651,0.6212121248245239,0.5,0.5,0.6954811811447144,0.0,0.0
4,0.4545454680919647,0.4272267818450928,9.999999747378752e-06,1.1296111345291138,0.4625000059604645,0.560606062412262,0.5,0.5,0.6945455074310303,0.0,0.0
5,0.5,0.49529385566711426,4.999999873689376e-06,0.9273180961608887,0.5,0.5303030014038086,0.5,0.5,0.6937181949615479,0.0,0.0
6,0.5151515007019043,0.5192837715148926,4.999999873689376e-06,0.8770585656166077,0.512499988079071,0.6212121248245239,0.5,0.5,0.6932679414749146,0.0,0.0
7,0.42424243688583374,0.41425615549087524,4.999999873689376e-06,1.0531530380249023,0.4404761791229248,0.560606062412262,0.5,0.5,0.6929711699485779,0.0,0.0
8,0.469696968793869,0.5150367021560669,4.999999873689376e-06,0.9421077966690063,0.4749999940395355,0.5757575631141663,0.6538461446762085,0.5,0.6928945183753967,0.699999988079071,0.5384615659713745
9,0.5227272510528564,0.45488977432250977,4.999999873689376e-06,1.053216814994812,0.5199999809265137,0.5909090638160706,0.5,0.5,0.6929396986961365,0.5,1.0
